Strategy,TrackScope,K,Races,Wagered,Returned,Profit,ROI%,Hits,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears,Gap,FavMin,FS,Cond,Card
K1W7_BEL_FS10-11_Gap0.18_Fav0.40_fast_midlate,BEL,7,87,10440,14052.3,3612.3,34.6,32,36.78,439.13,-10.08,267.6,73,14,6/13,0.18,0.4,10-11,fast,midlate
K1W7_BEL_FS10-11_Gap0.20_Fav0.40_fast_midlate,BEL,7,87,10440,14052.3,3612.3,34.6,32,36.78,439.13,-10.08,267.6,73,14,6/13,0.2,0.4,10-11,fast,midlate
K1W7_BEL_FS10-11_Gap0.15_Fav0.40_fast_midlate,BEL,7,88,10560,14052.3,3492.3,33.07,32,36.36,439.13,-11.3,267.6,74,14,6/13,0.15,0.4,10-11,fast,midlate
K1W7_BEL_FS10-11_Gap0.10_Fav0.40_fast_midlate,BEL,7,89,10680,14127.8,3447.8,32.28,33,37.08,428.12,-11.64,267.6,75,14,6/13,0.1,0.4,10-11,fast,midlate
K1W7_BEL_FS10-11_Gap0.12_Fav0.40_fast_midlate,BEL,7,89,10680,14127.8,3447.8,32.28,33,37.08,428.12,-11.64,267.6,75,14,6/13,0.12,0.4,10-11,fast,midlate
K1W7_BEL_FS10-11_Gap0.10_Fav0.35_fast_late,BEL,7,92,11040,14168.25,3128.25,28.34,32,34.78,442.76,-12.51,255.9,78,14,7/13,0.1,0.35,10-11,fast,late
K1W7_BEL_FS10-11_Gap0.20_Fav0.35_all_late,BEL,7,87,10440,14870.8,4430.8,42.44,32,36.78,464.71,2.14,235.9,72,15,7/13,0.2,0.35,10-11,all,late
K1W7_BEL_FS10-11_Gap0.20_Fav0.00_all_late,BEL,7,92,11040,14870.8,3830.8,34.7,32,34.78,464.71,-4.5,235.9,77,15,7/13,0.2,0.0,10-11,all,late
K1W7_BEL_FS10-11_Gap0.15_Fav0.00_fast_late,BEL,7,122,14640,16137.25,1497.25,10.23,35,28.69,461.06,-20.89,232.18,107,15,6/13,0.15,0.0,10-11,fast,late
K1W9_BEL_FS10-11_Gap0.12_Fav0.00_wet_midlate,BEL,9,90,30240,36170.95,5930.95,19.61,32,35.56,1130.34,-13.07,232.02,78,12,8/12,0.12,0.0,10-11,wet,midlate
K1W7_BEL_FS10-12_Gap0.20_Fav0.35_fast_late,BEL,7,97,11640,16592.75,4952.75,42.55,35,36.08,474.08,9.75,221.84,82,15,7/13,0.2,0.35,10-12,fast,late
K1W7_BEL_FS10-12_Gap0.18_Fav0.35_fast_late,BEL,7,112,13440,20022.45,6582.45,48.98,41,36.61,488.35,17.74,212.09,94,18,8/13,0.18,0.35,10-12,fast,late
K1W7_BEL_FS10-11_Gap0.20_Fav0.40_all_midlate,BEL,7,113,13560,15682.25,2122.25,15.65,38,33.63,412.69,-17.9,205.14,96,17,5/13,0.2,0.4,10-11,all,midlate
K1W7_BEL_FS10-11_Gap0.18_Fav0.00_all_late,BEL,7,116,13920,18594.5,4674.5,33.58,38,32.76,489.33,2.38,203.48,98,18,7/13,0.18,0.0,10-11,all,late
K1W7_BEL_FS10-11_Gap0.18_Fav0.35_all_late,BEL,7,98,11760,15645.5,3885.5,33.04,35,35.71,447.01,-5.31,203.48,80,18,7/13,0.18,0.35,10-11,all,late
K1W7_BEL_FS10-12_Gap0.20_Fav0.40_fast_midlate,BEL,7,117,14040,25149.5,11109.5,79.13,42,35.9,598.8,58.12,202.73,100,17,9/13,0.2,0.4,10-12,fast,midlate
K1W7_BEL_FS10-12_Gap0.18_Fav0.40_fast_midlate,BEL,7,118,14160,25149.5,10989.5,77.61,42,35.59,598.8,56.55,202.73,101,17,9/13,0.18,0.4,10-12,fast,midlate
K1W7_BEL_FS10-12_Gap0.15_Fav0.40_fast_midlate,BEL,7,119,14280,25149.5,10869.5,76.12,42,35.29,598.8,55.01,202.73,102,17,9/13,0.15,0.4,10-12,fast,midlate
K1W7_BEL_FS10-12_Gap0.10_Fav0.40_fast_midlate,BEL,7,120,14400,25225.0,10825.0,75.17,43,35.83,586.63,54.12,202.73,103,17,9/13,0.1,0.4,10-12,fast,midlate
K1W7_BEL_FS10-12_Gap0.12_Fav0.40_fast_midlate,BEL,7,120,14400,25225.0,10825.0,75.17,43,35.83,586.63,54.12,202.73,103,17,9/13,0.12,0.4,10-12,fast,midlate
K1W7_BEL_FS10-12_Gap0.20_Fav0.00_fast_late,BEL,7,105,12600,16973.25,4373.25,34.71,36,34.29,471.48,2.27,202.63,88,17,7/13,0.2,0.0,10-12,fast,late
K1W7_BEL_FS10-13_Gap0.20_Fav0.35_fast_late,BEL,7,99,11880,18576.25,6696.25,56.37,36,36.36,516.01,28.34,201.73,83,16,8/13,0.2,0.35,10-13,fast,late
K1W8_BEL_FS10-11_Gap0.18_Fav0.40_all_midlate,BEL,8,114,23940,30016.95,6076.95,25.38,48,42.11,625.35,-6.8,197.01,96,18,6/13,0.18,0.4,10-11,all,midlate
