Strategy,K,Track,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,LOOCV_PosYrs,LOOCV_PosRatio,LOOCV_MedianROI,LOOCV_MeanROI
K1W7_BEL_FS11-12_Gap0.20_Fav0.40_fast_midlate,7,BEL,11-12,0.2,0.4,fast,midlate,62,22,147.57,35.48,837.23,105.65,430.52,9/13,0.692,91.35,268.2
K1W7_BEL_FS11-12_Gap0.15_Fav0.40_fast_midlate,7,BEL,11-12,0.15,0.4,fast,midlate,63,22,143.64,34.92,837.23,101.91,430.52,9/13,0.692,91.35,265.7
K1W7_BEL_FS11-12_Gap0.05_Fav0.40_fast_midlate,7,BEL,11-12,0.05,0.4,fast,midlate,64,23,140.82,35.94,804.12,99.43,430.52,9/13,0.692,91.35,264.0
K1W7_BEL_FS11-12_Gap0.10_Fav0.40_fast_midlate,7,BEL,11-12,0.1,0.4,fast,midlate,64,23,140.82,35.94,804.12,99.43,430.52,9/13,0.692,91.35,264.0
K1W7_BEL_FS11-13_Gap0.22_Fav0.40_fast_midlate,7,BEL,11-13,0.22,0.4,fast,midlate,64,21,137.78,32.81,869.58,98.31,414.06,9/13,0.692,52.31,271.6
K1W7_BEL_FS11-13_Gap0.20_Fav0.40_fast_midlate,7,BEL,11-13,0.2,0.4,fast,midlate,65,22,136.14,33.85,837.23,98.31,371.57,9/13,0.692,52.31,263.3
K1W7_BEL_FS11-14_Gap0.22_Fav0.40_fast_midlate,7,BEL,11-14,0.22,0.4,fast,midlate,65,21,134.12,32.31,869.58,94.83,414.06,9/13,0.692,52.31,268.3
K1W7_BEL_FS11-13_Gap0.15_Fav0.40_fast_midlate,7,BEL,11-13,0.15,0.4,fast,midlate,66,22,132.57,33.33,837.23,94.83,371.57,9/13,0.692,52.31,260.8
K1W7_BEL_FS11-14_Gap0.20_Fav0.40_fast_midlate,7,BEL,11-14,0.2,0.4,fast,midlate,66,22,132.57,33.33,837.23,94.83,371.57,9/13,0.692,52.31,260.0
K1W7_BEL_FS11-13_Gap0.05_Fav0.40_fast_midlate,7,BEL,11-13,0.05,0.4,fast,midlate,67,23,130.03,34.33,804.12,92.55,371.57,9/13,0.692,52.31,259.1
K1W7_BEL_FS11-13_Gap0.10_Fav0.40_fast_midlate,7,BEL,11-13,0.1,0.4,fast,midlate,67,23,130.03,34.33,804.12,92.55,371.57,9/13,0.692,52.31,259.1
K1W7_BEL_FS11-14_Gap0.15_Fav0.40_fast_midlate,7,BEL,11-14,0.15,0.4,fast,midlate,67,22,129.09,32.84,837.23,91.47,371.57,9/13,0.692,52.31,257.5
K1W7_BEL_FS11-14_Gap0.05_Fav0.40_fast_midlate,7,BEL,11-14,0.05,0.4,fast,midlate,68,23,126.65,33.82,804.12,89.29,371.57,9/13,0.692,52.31,255.8
K1W7_BEL_FS11-14_Gap0.10_Fav0.40_fast_midlate,7,BEL,11-14,0.1,0.4,fast,midlate,68,23,126.65,33.82,804.12,89.29,371.57,9/13,0.692,52.31,255.8
K1W7_BEL_FS11-13_Gap0.22_Fav0.00_fast_midlate,7,BEL,11-13,0.22,0.0,fast,midlate,90,26,121.87,28.89,921.62,105.92,216.35,9/13,0.692,192.11,239.2
K1W7_BEL_FS11-13_Gap0.22_Fav0.30_fast_midlate,7,BEL,11-13,0.22,0.3,fast,midlate,90,26,121.87,28.89,921.62,105.92,216.35,9/13,0.692,192.11,239.2
K1W7_BEL_FS11-14_Gap0.22_Fav0.00_fast_midlate,7,BEL,11-14,0.22,0.0,fast,midlate,91,26,119.43,28.57,921.62,103.28,216.35,9/13,0.692,165.6,236.7
K1W7_BEL_FS11-14_Gap0.22_Fav0.30_fast_midlate,7,BEL,11-14,0.22,0.3,fast,midlate,91,26,119.43,28.57,921.62,103.28,216.35,9/13,0.692,165.6,236.7
K1W7_BEL_FS11-13_Gap0.20_Fav0.35_fast_midlate,7,BEL,11-13,0.2,0.35,fast,midlate,96,30,116.97,31.25,833.18,100.13,207.96,9/13,0.692,163.35,179.0
