Strategy,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears
K1W7_BEL_FS11-13_Gap0.18_Fav0.35_all_midlate,11-13,0.18,0.35,all,midlate,140,43,97.49,30.71,771.58,79.26,185.6,116,24,10/13
K1W7_BEL_FS11-13_Gap0.10_Fav0.37_fast_midlate,11-13,0.1,0.37,fast,midlate,98,30,97.31,30.61,773.45,74.05,236.86,84,14,8/13
K1W7_BEL_FS11-13_Gap0.12_Fav0.37_fast_midlate,11-13,0.12,0.37,fast,midlate,98,30,97.31,30.61,773.45,74.05,236.86,84,14,8/13
K1W7_BEL_FS11-13_Gap0.14_Fav0.37_fast_midlate,11-13,0.14,0.37,fast,midlate,98,30,97.31,30.61,773.45,74.05,236.86,84,14,8/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.40_all_midlate,11-14,0.22,0.4,all,midlate,81,25,96.61,30.86,764.4,63.49,361.5,72,9,9/13
K1W7_BEL_FS11-13_Gap0.05_Fav0.40_all_midlate,11-13,0.05,0.4,all,midlate,82,27,96.58,32.93,716.43,64.37,328.52,72,10,9/13
K1W7_BEL_FS11-13_Gap0.08_Fav0.40_all_midlate,11-13,0.08,0.4,all,midlate,82,27,96.58,32.93,716.43,64.37,328.52,72,10,9/13
K1W7_BEL_FS11-13_Gap0.10_Fav0.40_all_midlate,11-13,0.1,0.4,all,midlate,82,27,96.58,32.93,716.43,64.37,328.52,72,10,9/13
K1W7_BEL_FS11-13_Gap0.12_Fav0.40_all_midlate,11-13,0.12,0.4,all,midlate,82,27,96.58,32.93,716.43,64.37,328.52,72,10,9/13
K1W7_BEL_FS11-13_Gap0.14_Fav0.40_all_midlate,11-13,0.14,0.4,all,midlate,82,27,96.58,32.93,716.43,64.37,328.52,72,10,9/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.35_all_midlate,11-14,0.22,0.35,all,midlate,108,31,95.89,28.7,818.94,77.66,208.9,93,15,9/13
K1W7_BEL_FS11-13_Gap0.18_Fav0.35_fast_all,11-13,0.18,0.35,fast,all,130,42,95.87,32.31,727.51,88.65,131.3,108,22,9/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.00_fast_all,11-12,0.22,0.0,fast,all,102,31,95.85,30.39,773.28,85.42,147.99,85,17,8/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.30_fast_all,11-12,0.22,0.3,fast,all,102,31,95.85,30.39,773.28,85.42,147.99,85,17,8/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.33_fast_all,11-12,0.22,0.33,fast,all,102,31,95.85,30.39,773.28,85.42,147.99,85,17,8/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.40_all_midlate,11-14,0.2,0.4,all,midlate,82,26,95.81,31.71,741.08,63.49,328.52,72,10,9/13
K1W7_BEL_FS11-14_Gap0.18_Fav0.33_fast_midlate,11-14,0.18,0.33,fast,midlate,128,37,95.54,28.91,811.77,78.82,180.76,107,21,9/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.35_fast_late,11-13,0.22,0.35,fast,late,54,19,95.36,35.19,666.3,47.48,370.68,46,8,8/13
K1W7_BEL_FS11-13_Gap0.05_Fav0.37_fast_midlate,11-13,0.05,0.37,fast,midlate,99,30,95.31,30.3,773.45,74.05,214.4,84,15,8/13
K1W7_BEL_FS11-13_Gap0.08_Fav0.37_fast_midlate,11-13,0.08,0.37,fast,midlate,99,30,95.31,30.3,773.45,74.05,214.4,84,15,8/13
K1W7_BEL_FS11-14_Gap0.10_Fav0.37_fast_midlate,11-14,0.1,0.37,fast,midlate,99,30,95.31,30.3,773.45,72.0,236.86,85,14,8/13
K1W7_BEL_FS11-14_Gap0.12_Fav0.37_fast_midlate,11-14,0.12,0.37,fast,midlate,99,30,95.31,30.3,773.45,72.0,236.86,85,14,8/13
